node_x,node_y,hamming
2,0,1
4,0,1
6,0,1
7,0,1
10,0,1
13,0,1
14,0,1
72,0,1
116,0,1
2,1,1
4,1,1
5,1,1
22,1,1
34,1,1
37,1,1
64,1,1
0,2,1
1,2,1
8,2,1
20,2,1
21,2,1
25,2,1
26,2,1
33,2,1
111,2,1
11,3,1
15,3,1
17,3,1
35,3,1
45,3,1
62,3,1
63,3,1
69,3,1
102,3,1
115,3,1
0,4,1
1,4,1
27,4,1
30,4,1
51,4,1
60,4,1
136,4,1
149,4,1
1,5,1
8,5,1
27,5,1
41,5,1
42,5,1
120,5,1
0,6,1
11,6,1
17,6,1
30,6,1
36,6,1
111,6,1
140,6,1
0,7,1
21,7,1
23,7,1
36,7,1
57,7,1
60,7,1
71,7,1
103,7,1
2,8,1
5,8,1
13,8,1
28,8,1
38,8,1
95,8,1
106,8,1
109,8,1
18,9,1
19,9,1
26,9,1
33,9,1
48,9,1
53,9,1
56,9,1
92,9,1
100,9,1
126,9,1
0,10,1
11,10,1
15,10,1
33,10,1
53,10,1
71,10,1
93,10,1
3,11,1
6,11,1
10,11,1
65,11,1
94,11,1
19,12,1
20,12,1
24,12,1
26,12,1
47,12,1
49,12,1
119,12,1
0,13,1
8,13,1
27,13,1
32,13,1
39,13,1
93,13,1
103,13,1
140,13,1
0,14,1
15,14,1
17,14,1
25,14,1
39,14,1
51,14,1
57,14,1
3,15,1
10,15,1
14,15,1
44,15,1
50,15,1
85,15,1
35,16,1
46,16,1
52,16,1
66,16,1
69,16,1
70,16,1
89,16,1
125,16,1
3,17,1
6,17,1
14,17,1
84,17,1
107,17,1
118,17,1
135,17,1
9,18,1
29,18,1
31,18,1
59,18,1
98,18,1
105,18,1
127,18,1
141,18,1
9,19,1
12,19,1
76,19,1
86,19,1
98,19,1
2,20,1
12,20,1
22,20,1
38,20,1
97,20,1
2,21,1
7,21,1
29,21,1
64,21,1
78,21,1
95,21,1
132,21,1
1,22,1
20,22,1
24,22,1
42,22,1
7,23,1
61,23,1
73,23,1
78,23,1
90,23,1
113,23,1
147,23,1
12,24,1
22,24,1
34,24,1
81,24,1
2,25,1
14,25,1
28,25,1
37,25,1
44,25,1
97,25,1
132,25,1
2,26,1
9,26,1
12,26,1
29,26,1
34,26,1
109,26,1
4,27,1
5,27,1
13,27,1
74,27,1
122,27,1
8,28,1
25,28,1
39,28,1
41,28,1
68,28,1
110,28,1
18,29,1
21,29,1
26,29,1
47,29,1
112,29,1
121,29,1
4,30,1
6,30,1
107,30,1
18,31,1
75,31,1
77,31,1
80,31,1
112,31,1
13,32,1
40,32,1
72,32,1
74,32,1
2,33,1
9,33,1
10,33,1
44,33,1
106,33,1
1,34,1
24,34,1
26,34,1
92,34,1
120,34,1
121,34,1
3,35,1
16,35,1
84,35,1
85,35,1
94,35,1
124,35,1
144,35,1
6,36,1
7,36,1
73,36,1
84,36,1
94,36,1
1,37,1
25,37,1
41,37,1
51,37,1
8,38,1
20,38,1
42,38,1
49,38,1
110,38,1
13,39,1
14,39,1
28,39,1
40,39,1
50,39,1
122,39,1
135,39,1
32,40,1
39,40,1
58,40,1
133,40,1
137,40,1
5,41,1
28,41,1
37,41,1
122,41,1
5,42,1
22,42,1
38,42,1
81,42,1
108,43,1
125,43,1
128,43,1
130,43,1
134,43,1
15,44,1
25,44,1
33,44,1
56,44,1
68,44,1
115,44,1
3,45,1
82,45,1
118,45,1
124,45,1
16,46,1
61,46,1
85,46,1
90,46,1
143,46,1
145,46,1
12,47,1
29,47,1
98,47,1
9,48,1
86,48,1
106,48,1
109,48,1
123,48,1
141,48,1
12,49,1
38,49,1
81,49,1
86,49,1
109,49,1
15,50,1
39,50,1
58,50,1
62,50,1
68,50,1
93,50,1
4,51,1
14,51,1
37,51,1
107,51,1
122,51,1
16,52,1
99,52,1
139,52,1
143,52,1
9,53,1
10,53,1
59,53,1
65,53,1
55,54,1
114,54,1
54,55,1
108,55,1
9,56,1
44,56,1
76,56,1
105,56,1
123,56,1
7,57,1
14,57,1
61,57,1
84,57,1
85,57,1
132,57,1
40,58,1
50,58,1
67,58,1
18,59,1
53,59,1
71,59,1
77,59,1
96,59,1
4,60,1
7,60,1
64,60,1
113,60,1
23,61,1
46,61,1
57,61,1
66,61,1
3,62,1
50,62,1
67,62,1
135,62,1
3,63,1
67,63,1
1,64,1
21,64,1
60,64,1
121,64,1
11,65,1
53,65,1
96,65,1
100,65,1
102,65,1
16,66,1
61,66,1
73,66,1
84,66,1
58,67,1
62,67,1
63,67,1
133,67,1
28,68,1
44,68,1
50,68,1
106,68,1
123,68,1
3,69,1
16,69,1
16,70,1
88,70,1
139,70,1
144,70,1
145,70,1
7,71,1
10,71,1
59,71,1
85,71,1
90,71,1
94,71,1
0,72,1
32,72,1
149,72,1
23,73,1
36,73,1
66,73,1
89,73,1
27,74,1
32,74,1
137,74,1
149,74,1
31,75,1
104,75,1
117,75,1
127,75,1
19,76,1
56,76,1
31,77,1
59,77,1
88,77,1
90,77,1
104,77,1
145,77,1
21,78,1
23,78,1
112,78,1
101,79,1
131,79,1
31,80,1
105,80,1
145,80,1
24,81,1
42,81,1
49,81,1
120,81,1
45,82,1
134,82,1
87,83,1
129,83,1
17,84,1
35,84,1
36,84,1
57,84,1
66,84,1
15,85,1
35,85,1
46,85,1
57,85,1
71,85,1
19,86,1
48,86,1
49,86,1
83,87,1
99,87,1
143,87,1
70,88,1
77,88,1
89,88,1
96,88,1
16,89,1
73,89,1
88,89,1
90,89,1
94,89,1
23,90,1
46,90,1
71,90,1
77,90,1
89,90,1
117,91,1
127,91,1
148,91,1
9,92,1
34,92,1
10,93,1
13,93,1
50,93,1
106,93,1
11,94,1
35,94,1
36,94,1
71,94,1
89,94,1
96,94,1
8,95,1
21,95,1
103,95,1
59,96,1
65,96,1
88,96,1
94,96,1
144,96,1
20,97,1
25,97,1
110,97,1
18,98,1
19,98,1
47,98,1
52,99,1
87,99,1
9,100,1
65,100,1
79,101,1
116,101,1
138,101,1
3,102,1
65,102,1
144,102,1
7,103,1
13,103,1
95,103,1
75,104,1
77,104,1
142,104,1
18,105,1
56,105,1
80,105,1
8,106,1
33,106,1
48,106,1
68,106,1
93,106,1
17,107,1
30,107,1
51,107,1
43,108,1
55,108,1
8,109,1
26,109,1
48,109,1
49,109,1
120,109,1
28,110,1
38,110,1
97,110,1
2,111,1
6,111,1
29,112,1
31,112,1
78,112,1
23,113,1
60,113,1
54,114,1
3,115,1
44,115,1
0,116,1
101,116,1
136,116,1
75,117,1
91,117,1
142,117,1
17,118,1
45,118,1
12,119,1
5,120,1
34,120,1
81,120,1
109,120,1
29,121,1
34,121,1
64,121,1
27,122,1
39,122,1
41,122,1
51,122,1
137,122,1
48,123,1
56,123,1
68,123,1
35,124,1
45,124,1
125,124,1
134,124,1
16,125,1
43,125,1
124,125,1
9,126,1
127,126,1
18,127,1
75,127,1
91,127,1
126,127,1
43,128,1
146,128,1
83,129,1
147,129,1
43,130,1
79,131,1
21,132,1
25,132,1
57,132,1
40,133,1
67,133,1
135,133,1
43,134,1
82,134,1
124,134,1
17,135,1
39,135,1
62,135,1
133,135,1
140,135,1
4,136,1
116,136,1
40,137,1
74,137,1
122,137,1
101,138,1
52,139,1
70,139,1
6,140,1
13,140,1
135,140,1
18,141,1
48,141,1
104,142,1
117,142,1
146,142,1
148,142,1
46,143,1
52,143,1
87,143,1
35,144,1
70,144,1
96,144,1
102,144,1
46,145,1
70,145,1
77,145,1
80,145,1
128,146,1
142,146,1
23,147,1
129,147,1
91,148,1
142,148,1
4,149,1
72,149,1
74,149,1
